id,createdAt,updatedAt,Land_ID,State,District,Mandal,Village,Latitude,Land_Zone_Data,Soil_Type,Electricity,Approach_Road_Length,Longitude,Approach_Road_Type,Status,Fencing,Price_per_Acre,Water_Source_Data
67,Wed Oct 29 2025 16:14:08 GMT+0530 (India Standard Time),Wed Oct 29 2025 16:14:08 GMT+0530 (India Standard Time),11182,Telangana,Rangareddy,Jilled Chowdergudem,Padmaram,17.07661307,0,red,0,20,77.96844919,formation,active,0,0.5,"0
"
68,Wed Oct 29 2025 16:14:16 GMT+0530 (India Standard Time),Wed Oct 29 2025 16:14:16 GMT+0530 (India Standard Time),6717,Telangana,Wanaparthy,Atmakur,Mulamalla,16.3362598,0,Black,0,20,77.7566528,kacha,active,0,0.195,"0
"
69,Wed Oct 29 2025 16:14:23 GMT+0530 (India Standard Time),Wed Oct 29 2025 16:14:23 GMT+0530 (India Standard Time),4092,Telangana,Narayanpet,Makthal,Pareval,16.37191,0,Red,0,18,77.576955,formation,active,0,0.13,"0
"
70,Wed Oct 29 2025 16:14:30 GMT+0530 (India Standard Time),Wed Oct 29 2025 16:14:30 GMT+0530 (India Standard Time),,,,,,,,,,,,,,,,"
"
71,Wed Oct 29 2025 16:14:38 GMT+0530 (India Standard Time),Wed Oct 29 2025 16:14:38 GMT+0530 (India Standard Time),1488,Telangana,Medak,Medak,Medak Nagar Panchayath,18.0449679,2,black,0,40,78.2478953,blacktop,active,0,0.82,"0
"
72,Wed Oct 29 2025 16:14:46 GMT+0530 (India Standard Time),Wed Oct 29 2025 16:14:46 GMT+0530 (India Standard Time),2200,Telangana,Vikarabad,Marpalle,Panchalingal,17.5663333,0,Red,0,14,77.8165556,kacha,active,0,0.75,"0
"
73,Wed Oct 29 2025 16:14:53 GMT+0530 (India Standard Time),Wed Oct 29 2025 16:14:53 GMT+0530 (India Standard Time),2306,Telangana,Medchal-Malkajigiri,Muduchinthalapally,Sampanbole,17.6286278,0,Black,1,100,78.6312854,blacktop,active,1,4.5,"0.23529411764705885
"
74,Wed Oct 29 2025 16:15:01 GMT+0530 (India Standard Time),Wed Oct 29 2025 16:15:01 GMT+0530 (India Standard Time),,,,,,,,,,,,,,,,"
"
75,Wed Oct 29 2025 16:15:08 GMT+0530 (India Standard Time),Wed Oct 29 2025 16:15:08 GMT+0530 (India Standard Time),,,,,,,,,,,,,,,,"
"
76,Wed Oct 29 2025 16:15:15 GMT+0530 (India Standard Time),Wed Oct 29 2025 16:15:15 GMT+0530 (India Standard Time),1206,Telangana,Yadadri Bhuvanagiri,Motakondur,Matoor,17.5738881,1,Red,0,16,79.1040432,kacha,active,0,0.55,"0
"
77,Wed Oct 29 2025 16:15:22 GMT+0530 (India Standard Time),Wed Oct 29 2025 16:15:22 GMT+0530 (India Standard Time),90,Telangana,Vikarabad,Dharur,Kukinda,17.350347,2,rocky,0,40,77.799343,blacktop,active,1,0.7,"
"
78,Wed Oct 29 2025 16:15:30 GMT+0530 (India Standard Time),Wed Oct 29 2025 16:15:30 GMT+0530 (India Standard Time),,,,,,,,,,,,,,,,"
"
79,Wed Oct 29 2025 16:15:37 GMT+0530 (India Standard Time),Wed Oct 29 2025 16:15:37 GMT+0530 (India Standard Time),2069,Telangana,Vikarabad,Dharur,Ebbanoor,17.3240786,0,Black,0,60,77.8378072,blacktop,active,1,1.2,"0
"
80,Wed Oct 29 2025 16:15:45 GMT+0530 (India Standard Time),Wed Oct 29 2025 16:15:45 GMT+0530 (India Standard Time),10765,Telangana,Mahabubnagar,Balangar,Madampalle,16.89558559,0,Black,0,30,78.26232073,blacktop,active,0,1,"0
"
81,Wed Oct 29 2025 16:15:52 GMT+0530 (India Standard Time),Wed Oct 29 2025 16:15:52 GMT+0530 (India Standard Time),1588,Telangana,Sangareddy,Nyalkal,Chingepalle,17.876441,1,black,0,40,77.655549,blacktop,active,1,0.35,"0
"
82,Wed Oct 29 2025 16:15:59 GMT+0530 (India Standard Time),Wed Oct 29 2025 16:15:59 GMT+0530 (India Standard Time),11025,Telangana,Medak,Shivampet,Donthi,17.80576244,0,black,0,20,78.41780876,formation,active,0,1.6,"0
"
83,Wed Oct 29 2025 16:16:07 GMT+0530 (India Standard Time),Wed Oct 29 2025 16:16:07 GMT+0530 (India Standard Time),7304,Telangana,Nagarkurnool,Kalwakurthy,Kalwakurthy,16.65826433,0,black,0,20,78.48982808,cc_road,active,0,1.5,"0
"
84,Wed Oct 29 2025 16:16:14 GMT+0530 (India Standard Time),Wed Oct 29 2025 16:16:14 GMT+0530 (India Standard Time),10253,Telangana,Rangareddy,Jilled Chowdergudem,Malkapahad,17.02451835,0,sandy,0,40,77.963627,blacktop,active,0,0.6,"0
"
85,Wed Oct 29 2025 16:16:21 GMT+0530 (India Standard Time),Wed Oct 29 2025 16:16:21 GMT+0530 (India Standard Time),,,,,,,,,,,,,,,,"
"
86,Wed Oct 29 2025 16:16:28 GMT+0530 (India Standard Time),Wed Oct 29 2025 16:16:28 GMT+0530 (India Standard Time),9165,Telangana,Yadadri Bhuvanagiri,Valigonda,Redla Repaka,17.40128908,0,Black,1,10,78.97074882,formation,active,0,1,"0.35294117647058826
"
87,Wed Oct 29 2025 16:16:36 GMT+0530 (India Standard Time),Wed Oct 29 2025 16:16:36 GMT+0530 (India Standard Time),,,,,,,,,,,,,,,,"
"
88,Wed Oct 29 2025 16:16:43 GMT+0530 (India Standard Time),Wed Oct 29 2025 16:16:43 GMT+0530 (India Standard Time),2324,Telangana,Jangoan,Narmetta,Ammapur,17.9212617,0,Black,1,14,79.12132,formation,active,0,0.27,"0.35294117647058826
"
89,Wed Oct 29 2025 16:16:51 GMT+0530 (India Standard Time),Wed Oct 29 2025 16:16:51 GMT+0530 (India Standard Time),6190,Telangana,Yadadri Bhuvanagiri,Mothkur,Dacharam,17.409387,0,red,0,20,79.295405,formation,active,0,0.52,"0
"
90,Wed Oct 29 2025 16:16:58 GMT+0530 (India Standard Time),Wed Oct 29 2025 16:16:58 GMT+0530 (India Standard Time),8971,Telangana,Siddipet,Maddur,Ladnoor,17.8744408,0,red,0,20,79.07471818,formation,active,0,0.23,"0
"
91,Wed Oct 29 2025 16:17:05 GMT+0530 (India Standard Time),Wed Oct 29 2025 16:17:05 GMT+0530 (India Standard Time),262,Telangana,Rangareddy,Chevella,Gollapalle,17.363165,1,black,0,100,78.159518,blacktop,active,1,5.5,"0
"
92,Wed Oct 29 2025 16:17:13 GMT+0530 (India Standard Time),Wed Oct 29 2025 16:17:13 GMT+0530 (India Standard Time),2037,Telangana,Mahabubnagar,Balangar,Chinna Revalli,16.9040566,0,Red Soil,0,40,78.2855417,kacha,active,1,0.6,"0
"
93,Wed Oct 29 2025 16:17:21 GMT+0530 (India Standard Time),Wed Oct 29 2025 16:17:21 GMT+0530 (India Standard Time),11019,Telangana,Jangoan,Zaffergadh,Zaffargadh,17.7925937,0,black,0,,79.44055074,,active,0,0.35,"0
"
94,Wed Oct 29 2025 16:17:29 GMT+0530 (India Standard Time),Wed Oct 29 2025 16:17:29 GMT+0530 (India Standard Time),2679,Telangana,Nalgonda,Nakrekal,Chandupatla,17.1316814,0,Red,0,40,79.4279761,blacktop,active,1,0.7,"0
"
95,Wed Oct 29 2025 16:17:36 GMT+0530 (India Standard Time),Wed Oct 29 2025 16:17:36 GMT+0530 (India Standard Time),466,Telangana,Yadadri Bhuvanagiri,Mothkur,Dattappaguda,17.3929375,1,red,0,25,79.2261875,kacha,active,1,0.48,"0
"
96,Wed Oct 29 2025 16:17:43 GMT+0530 (India Standard Time),Wed Oct 29 2025 16:17:43 GMT+0530 (India Standard Time),5797,Telangana,Jangoan,Palakurthi,Visnoor,17.636695,0,red,0,40,79.388577,blacktop,active,0,0.37,"0
"
97,Wed Oct 29 2025 16:17:51 GMT+0530 (India Standard Time),Wed Oct 29 2025 16:17:51 GMT+0530 (India Standard Time),9526,Telangana,Nalgonda,Peda Adisharla Palli,Pedda Adiserla Palli,16.7175575,0,sandy,0,60,79.12084945,blacktop,active,0,1.3,"0
"
98,Wed Oct 29 2025 16:17:58 GMT+0530 (India Standard Time),Wed Oct 29 2025 16:17:58 GMT+0530 (India Standard Time),4263,Telangana,Yadadri Bhuvanagiri,Valigonda,Arrur,17.3811884,0,Black,0,15,79.0594403,formation,active,0,0.65,"0
"
99,Wed Oct 29 2025 16:18:05 GMT+0530 (India Standard Time),Wed Oct 29 2025 16:18:05 GMT+0530 (India Standard Time),10658,Andhra Pradesh,NTR,PENUGANCHIPROLU,PENUGANCHIPROLU,16.91540784,0,,0,,80.22156818,,active,0,0.29,"0.23529411764705885
"
100,Wed Oct 29 2025 16:18:13 GMT+0530 (India Standard Time),Wed Oct 29 2025 16:18:13 GMT+0530 (India Standard Time),1518,Telangana,Rangareddy,Maheshwaram,Maheswaram,17.169526,1,red,0,40,78.43163,blacktop,active,0,2.5,"0
"
101,Wed Oct 29 2025 16:18:20 GMT+0530 (India Standard Time),Wed Oct 29 2025 16:18:20 GMT+0530 (India Standard Time),,,,,,,,,,,,,,,,"
"
102,Wed Oct 29 2025 16:18:27 GMT+0530 (India Standard Time),Wed Oct 29 2025 16:18:27 GMT+0530 (India Standard Time),11102,Telangana,Nalgonda,Shaligouraram,Manimadde,17.34247773,0,black,0,,79.33139531,,active,0,0.35,"0
"
103,Wed Oct 29 2025 16:18:35 GMT+0530 (India Standard Time),Wed Oct 29 2025 16:18:35 GMT+0530 (India Standard Time),490,Telangana,Nalgonda,Marri Guda,Vatti Palle,16.96329,1,red,0,24,78.851458,formation,active,0,0.7,"0.29411764705882354
"
104,Wed Oct 29 2025 16:18:42 GMT+0530 (India Standard Time),Wed Oct 29 2025 16:18:42 GMT+0530 (India Standard Time),10968,Telangana,Siddipet,Siddipet Rural,Machapur [Patti Dubbak],18.20573074,0,black,0,,78.73077565,,active,0,0.2,"0
"
105,Wed Oct 29 2025 16:18:49 GMT+0530 (India Standard Time),Wed Oct 29 2025 16:18:49 GMT+0530 (India Standard Time),10006,Telangana,Medak,Nizampet,Kalwakunta,18.11053404,0,sandy,0,20,78.56862653,formation,active,0,0.37,"0
"
106,Wed Oct 29 2025 16:18:57 GMT+0530 (India Standard Time),Wed Oct 29 2025 16:18:57 GMT+0530 (India Standard Time),11076,Telangana,Nagarkurnool,Vangoor,Kondareddipalle,16.64171553,0,black,0,,78.58895937,,active,0,1.5,"0
"
107,Wed Oct 29 2025 16:19:04 GMT+0530 (India Standard Time),Wed Oct 29 2025 16:19:04 GMT+0530 (India Standard Time),4392,Telangana,Nalgonda,Gurrampode,Makka Palli,16.821206,0,red,0,20,79.0458448,formation,active,0,0.95,"0
"
108,Wed Oct 29 2025 16:19:11 GMT+0530 (India Standard Time),Wed Oct 29 2025 16:19:11 GMT+0530 (India Standard Time),8921,Telangana,Nalgonda,Gundla Palle,Chilkamari,16.724421,0,,0,30,79.047771,formation,active,0,0.55,"0
"
109,Wed Oct 29 2025 16:19:19 GMT+0530 (India Standard Time),Wed Oct 29 2025 16:19:19 GMT+0530 (India Standard Time),4593,Telangana,Mahabubabad,Peddavangara,Gantlakunta,17.592041,0,Black,0,30,79.524237,kacha,active,0,0.31,"0
"
110,Wed Oct 29 2025 16:19:26 GMT+0530 (India Standard Time),Wed Oct 29 2025 16:19:26 GMT+0530 (India Standard Time),7462,Telangana,Rajanna Sircilla,Mustabad,Pothugal,18.31512375,0,Black,0,10,78.74137281,formation,active,0,0.28,"0
"
111,Wed Oct 29 2025 16:19:33 GMT+0530 (India Standard Time),Wed Oct 29 2025 16:19:33 GMT+0530 (India Standard Time),8492,Telangana,Medak,Nizampet,Kalwakunta,18.1007146,0,black,0,40,78.54771647,blacktop,active,0,0.32,"0
"
112,Wed Oct 29 2025 16:19:41 GMT+0530 (India Standard Time),Wed Oct 29 2025 16:19:41 GMT+0530 (India Standard Time),5327,Telangana,Jangoan,Tharigoppula,Abdulnagaram,17.920017,0,Red,0,25,79.232666,kacha,active,1,0.45,"0
"
113,Wed Oct 29 2025 16:19:48 GMT+0530 (India Standard Time),Wed Oct 29 2025 16:19:48 GMT+0530 (India Standard Time),8679,Telangana,Yadadri Bhuvanagiri,Bommalaramaram,Somaji Palle,17.62475603,0,BLACK,0,40,78.70674783,blacktop,active,0,1,"0
"
114,Wed Oct 29 2025 16:19:56 GMT+0530 (India Standard Time),Wed Oct 29 2025 16:19:56 GMT+0530 (India Standard Time),9969,Telangana,Sangareddy,Nizampet,Nagdhar,18.11499611,0,Black,0,40,77.83708435,blacktop,active,0,0.4,"0
"
115,Wed Oct 29 2025 16:20:03 GMT+0530 (India Standard Time),Wed Oct 29 2025 16:20:03 GMT+0530 (India Standard Time),2837,Telangana,Sangareddy,Nagalgidda,Karsgutti,18.0705908,0,Black,0,10,77.6110092,formation,active,1,0.22,"0
"
116,Wed Oct 29 2025 16:20:10 GMT+0530 (India Standard Time),Wed Oct 29 2025 16:20:10 GMT+0530 (India Standard Time),10708,Telangana,Sangareddy,Nyalkal,Atnur,17.8576706,0,black,0,,77.64040198,,active,0,1.2,"0
"
117,Wed Oct 29 2025 16:20:18 GMT+0530 (India Standard Time),Wed Oct 29 2025 16:20:18 GMT+0530 (India Standard Time),10372,Telangana,Vikarabad,Marpalle,Kotmarpalle,17.49191828,0,black,0,,77.79193781,,active,0,0.45,"0
"
118,Wed Oct 29 2025 16:20:25 GMT+0530 (India Standard Time),Wed Oct 29 2025 16:20:25 GMT+0530 (India Standard Time),10653,Telangana,Vikarabad,Peddemul,Gotlapalle,17.31978628,0,black,0,,77.60795946,,active,0,0.35,"0.35294117647058826
"
119,Wed Oct 29 2025 16:20:33 GMT+0530 (India Standard Time),Wed Oct 29 2025 16:20:33 GMT+0530 (India Standard Time),10917,Telangana,Vikarabad,Basheerabad,Gangwar,17.23407001,0,black,0,,77.42709401,,active,0,0.28,"0
"
120,Wed Oct 29 2025 16:20:40 GMT+0530 (India Standard Time),Wed Oct 29 2025 16:20:40 GMT+0530 (India Standard Time),9816,Telangana,Vikarabad,Kodangal,Chitlapalle,17.07973997,0,black,0,100,77.58423457,highway_road,active,0,0.62,"0
"
121,Wed Oct 29 2025 16:20:47 GMT+0530 (India Standard Time),Wed Oct 29 2025 16:20:47 GMT+0530 (India Standard Time),10655,Telangana,Vikarabad,Peddemul,Thimsanpalle,17.35676291,0,black,0,,77.65770899,,active,0,0.4,"0
"
122,Wed Oct 29 2025 16:20:55 GMT+0530 (India Standard Time),Wed Oct 29 2025 16:20:55 GMT+0530 (India Standard Time),7700,Telangana,Sangareddy,Zahirabad,Satwar,17.69833906,0,black,0,100,77.50690844,highway_road,active,0,2.5,"0
"
123,Wed Oct 29 2025 16:21:02 GMT+0530 (India Standard Time),Wed Oct 29 2025 16:21:02 GMT+0530 (India Standard Time),2936,Telangana,Sangareddy,Manoor,Manoor,17.9874222,0,Red,0,60,77.7337536,blacktop,active,0,0.8,"0
"
124,Wed Oct 29 2025 16:21:11 GMT+0530 (India Standard Time),Wed Oct 29 2025 16:21:11 GMT+0530 (India Standard Time),10799,Telangana,Sangareddy,Sirgapoor,Wasar,18.12063458,0,Black,0,20,77.65700093,blacktop,active,0,0.1,"0
"
125,Wed Oct 29 2025 16:21:18 GMT+0530 (India Standard Time),Wed Oct 29 2025 16:21:18 GMT+0530 (India Standard Time),9221,Karnataka,BIDAR,AURAD,CHINTAKI,18.15064688,0,,0,,77.54646371,,active,0,0.12,"0
"
126,Wed Oct 29 2025 16:21:25 GMT+0530 (India Standard Time),Wed Oct 29 2025 16:21:25 GMT+0530 (India Standard Time),10785,Karnataka,BIDAR,AURAD,SANTAPURA,18.11390366,0,,0,,77.44195096,,active,0,0.2,"0
"
127,Wed Oct 29 2025 16:21:33 GMT+0530 (India Standard Time),Wed Oct 29 2025 16:21:33 GMT+0530 (India Standard Time),8076,Telangana,Kamareddy,Bhiknoor,Bhiknur,18.17576914,0,,0,,78.39383318,,active,0,2,"0
"
128,Wed Oct 29 2025 16:21:40 GMT+0530 (India Standard Time),Wed Oct 29 2025 16:21:40 GMT+0530 (India Standard Time),8225,Telangana,Medak,Nizampet,Chelmeda,18.17343123,0,black,0,,78.50491489,,active,0,0.22,"0
"
